CycleNumber,OA-10_10N_20mms_test9,OA-10_10N_20mms_test2,OA-10_20N_100mms_test3,OA-10_10N_100mms_test4,OA-10_20N_100mms_test7,OA-10_10N_100mms_test5,OA-10_20N_20mms_test12,OA-10_20N_100mms_test8,OA-10_10N_100mms_test6,OA-10_10N_20mms_test10,OA-10_20N_20mms_test11,OA-10_20N_20mms_test1,C20A_20N_10mms_test1,C20A_10N_10mms_test3,C20A_10N_100mms_test4,C20A_20N_100mms_test2,TOCN_20N_10mms_test1,TOCN_10N_100mms_test4,TOCN_10N_10mms_test3,TOCN_20N_100mms_test1,OA-20_20N_100mms_test3,OA-20_20N_20mms_test1,OA-20_10N_100mms_test4,OA-20_10N_20mms_test2,OA-20_20N_100mms_test7,OA-20_20N_20mms_test2,OA-20_10N_20mms_test6,OA-20_20N_100mms_test8,OA-20_10N_100mms_test4,OA-20_10N_100mms_test3,OA-20_20N_20mms_test1,OA-20_10N_20mms_test5,OA-0_20N_100mms_test7,OA-0_10N_20mms_test14,OA-0_20N_100mms_test13,OA-0_20N_100mms_test2,OA-0_20N_20mms_test11,OA-0_20N_20mms_test1,OA-0_20N_20mms_test5,OA-0_10N_100mms_test12,OA-0_10N_100mms_test8,OA-0_10N_100mms_test3,OA-0_10N_20mms_test6,OA-0_10N_20mms_test4,C20A_OA-2_20N_10mms_test1,C20A_OA-2_10N_10mms_test3,C20A_OA-2_10N_100mms_test4,C20A_OA-2_20N_100mms_test2,OA-1_10N_20mms_test11,OA-1_10N_100mms_test13,OA-1_10N_20mms_test10,OA-1_20N_100mms_test8,OA-1_10N_100mms_test12,OA-1_20N_20mms_test1,OA-1_10N_100mms_test4,OA-1_20N_20mms_test5,OA-1_20N_100mms_test3,OA-1_10N_20mms_test2,OA-1_20N_100mms_test7,OA-1_20N_20mms_test6
0,0.11850684212620136,0.1405627294487592,0.13013660677421257,0.12027164514574556,0.11971063022559907,0.13626446296780031,0.14561610562189928,0.11072952426805258,0.11393909786379752,0.15627450490441927,0.13598296835713883,0.11569404528250807,0.10131172939439152,0.2648279742788912,0.1656340319802948,0.17455524087525565,0.1580414930870454,0.1411286216370628,0.1313996379176124,0.11172845081131218,0.11564957302741417,0.10321766220378073,0.11336500814617233,0.12259578582380706,0.13787389990036675,0.12266595466167632,0.16205566433721627,0.12506922505246376,0.16502035072258342,0.1388293964757969,0.18855506947767323,0.15470692069629022,0.12565432306160965,0.06826452409702788,0.15258888547478205,0.1265249048257272,0.004365804891970098,0.11401187340345796,0.13658160603959543,0.13404305640410205,0.1837700372432724,0.10504946242414788,0.18523436101059365,0.14525282887464552,0.13157977329040207,0.19956454515571564,0.11248526741503215,0.1519754862811284,0.20036221582216066,0.14345787208753022,0.16361011011225385,0.18262654437787,0.06731107804019573,0.11818680580394872,0.16158206567205124,0.15668626403261846,0.13028021376173604,0.15580768536692793,0.16327349110784126,0.17835585901862672
1,0.12153380212156745,0.11705683182205644,0.14586482065953896,0.10413648163696629,0.12083581656926969,0.15180519096501766,0.13391658794226044,0.12944713781789824,0.11240393311491421,0.13891834821925392,0.1180465990961514,0.11847023686622118,0.08710258437363017,0.046907430438862995,0.15419552252697322,0.18918584815272618,0.13441119667289228,0.1553145504921801,0.09100022167951478,0.10542543013270234,0.14481547817413937,0.0809712797253361,0.054171962269229657,0.0775517041852427,0.16591393316047134,0.13398865131659213,0.1639737766279959,0.1372414199724977,0.15123145136097618,0.20273464906698557,0.17667983002621948,0.13203127632431413,0.13829873039469257,0.16515685053493176,0.15288806724080237,0.11907919951865094,0.14315264111600573,0.11956111857559666,0.13057345570251322,0.09153484566438493,0.1361913329578549,0.1179487385341309,0.12747697887783532,0.11556273189956173,0.1419748215654294,0.14761685920768738,0.17119246136872543,0.15039243429874588,0.19964722132894194,0.07824851898089215,0.18725807135151729,0.164334957839774,0.17260120563866685,0.11670890734420013,0.15886783834920154,0.17115758408571108,0.15043637315517908,0.13464470669107012,0.15830935682425776,0.16596226324592328
2,0.12509387925369106,0.12362543196515406,0.14444319774084785,0.17034414578379772,0.12261244687525008,0.10564679556281346,0.1231736088445686,0.15077764662961704,0.12260545044157807,0.10693969175817905,0.12542503100658084,0.09798627632446842,0.13439388565906507,0.0723514077752158,0.13562548300721655,0.17913827235300264,0.1531434398853333,0.15077242906089425,0.08810489411517862,0.0992612105420024,0.15897582956789227,0.1179826529509885,0.12154722141205625,0.14390454865526428,0.1658788259030914,0.1458375767506396,0.14319111583815677,0.1418748485369331,0.13979343331892874,0.1731025914518632,0.1570189623777799,0.13517481200109435,0.13689114489220033,0.15692542761444342,0.14908330392824978,0.11076179243817756,0.16459334305849802,0.12894872924857564,0.16741232827712635,0.13384995799511373,0.12684908551706034,0.13406012376348211,0.11105849116508897,0.0839273656544955,0.13701766112614047,0.1737372136365846,0.15082513426251457,0.14391531710120942,0.15093717144985186,0.09712554745686475,0.14747588816893986,0.15487754693321176,0.1385953174201808,0.11085061256987952,0.1779157895807189,0.14387165007201988,0.13698630899261058,0.12358778310270886,0.14890930505892025,0.1713285144199125
3,0.08443206969632429,0.12574633374786487,0.14412146343727777,0.12860529517928398,0.11710765225611001,0.07289696839789368,0.11055168662418313,0.12749512482979602,0.09988673283289695,0.08723915715850919,0.12587676639656012,0.10403263901679258,0.11664329183727776,0.10447225023518901,0.18701034543768982,0.18458180917619443,0.11932622348307768,0.16568521128576227,0.006927431391470426,0.08896079232709174,0.14431702573319333,0.1113993092534766,0.07599689862953744,0.1721381485262948,0.1609980461963231,0.13830903513063694,0.1666658664561065,0.1541604649337306,0.1511079773533206,0.14802977984387045,0.16858352275556418,0.15391251736478753,0.1500252766009739,0.17383437635549434,0.15601730211547474,0.10291190751676949,0.16215922510899786,0.13014335020197626,0.14334971677324698,0.13523328147479194,0.09662624294109456,0.18523323556616922,0.1417284091578391,0.11030020433612761,0.11362753467519121,0.1708709997876736,0.1571873818783384,0.17265659155659235,0.1633104363461198,0.15414883557707046,0.15286535679783034,0.12849823369508037,0.15107648440368376,0.10890583703944169,0.1389299401483901,0.1373937458847942,0.16403344416528154,0.1392150049947666,0.15947547188551278,0.1457344293303185
4,0.1123587011206119,0.13996918020444782,0.1470685210783438,0.15194751046476074,0.12985737158951213,0.11584908041366135,0.12961488925653727,0.11321905831381691,0.09779239065789691,0.09645679270992208,0.12519004055021898,0.10009565153841801,0.13303916125755902,0.21297513754409034,0.11442064126727687,0.17424531410549937,0.14645362570071982,0.18458789602322687,0.12942467413037473,0.09789259275784291,0.1508071105801574,0.10012923953501396,0.08805687513751206,0.16079512824464065,0.13753874981809702,0.13360766465398588,0.13286339227778604,0.12368740534702453,0.15826315417258807,0.15746457102824044,0.1663180068877928,0.17154711521954358,0.14341263288073147,0.1848731297876758,0.15662926568751004,0.10888784910020678,0.16869029573173785,0.120520491039361,0.17180651275352407,0.14245496929310864,0.1723683438990037,0.10965194320097156,0.1327503415630357,0.10753071868345411,0.16976349456782303,0.11415532524726989,0.16450798096952945,0.15889877088909207,0.1689418422355556,0.06023902668260259,0.12791610285454896,0.12933061416694266,0.17150504807882147,0.10844725079450857,0.12576444960024663,0.13837171049974747,0.16023942987982137,0.12482962682768557,0.14565408011765676,0.14165882118801476
5,0.1203744759832313,0.13706484904963762,0.1577130432040013,0.12465117498465722,0.12515941323732574,0.12319501681057542,0.11640448252782193,0.11631594628885458,0.11212063092001787,0.11144165964028631,0.10793435132394483,0.11261194705102182,0.12399617107215966,0.09909456419059198,0.16816827248088548,0.16830507897560498,0.11307046421608025,0.15916708215303985,0.0901015375140596,0.09710531316157384,0.1529589253724527,0.13648797267532736,0.09192951057460023,0.13081608346943752,0.1297386691116552,0.14101831857587901,0.15142571788779002,0.12986584204198953,0.15084675204075532,0.1808224058152424,0.12738972136969906,0.14278820254369498,0.1429326965278221,0.15054686657278887,0.15552474504893743,0.10043764977631343,0.16793265718181374,0.11464077515963908,0.12847082789539965,0.10939352040340382,0.13061558312401214,0.1321724043135837,0.15768588686516252,0.13889043778594634,0.17064135198505986,0.2537551555770676,0.2007425818416064,0.17448247023963467,0.14868549464034111,0.15226757769012653,0.16248306756205877,0.144593020093514,0.14537384291882083,0.11573151859919054,0.15735166342666354,0.15653399041392868,0.1482460219911184,0.10130187736485446,0.1535065604353287,0.14192591934803914
6,0.1277816759655328,0.1127106200722929,0.13799713524333088,0.1720157810964397,0.14326091967030652,0.14102622839613527,0.10702936710418867,0.11446053654038169,0.12703612804002867,0.10823440819294458,0.11706499495196378,0.10444021539954022,0.10306825350066413,0.16407833373923458,0.14182416466635603,0.16768908348192654,0.1368496001080545,0.1449457694048852,0.2250053110864507,0.10992091355863141,0.13657513765516968,0.10905021969558068,0.11980176130529177,0.14803886064926605,0.1277970315025583,0.12328527206542211,0.166773152534679,0.12417259034258449,0.14997406713275369,0.16172063870709827,0.1525781130333859,0.15765068085769704,0.1578174317723203,0.14593533510738477,0.14619274063531354,0.10374942850708918,0.17004781059008042,0.1297800531828297,0.15006818316714635,0.14353380752232062,0.10750669213080995,0.1656284966454067,0.12493292935785706,0.16535676877763153,0.14086383781173706,0.2703240521386652,0.2052572760374416,0.1529176874063226,0.157420579414655,0.2233665685916244,0.12822109268378115,0.12402905312218228,0.13399442221831323,0.1100516666435583,0.1528543215076346,0.13440338373243155,0.16528282800022132,0.12762018148584003,0.1393092639550758,0.13474543087489071
7,0.11170035784426172,0.1803416414823417,0.15362140366069155,0.16509109380933096,0.1538612840341818,0.08575352597127815,0.10026377447411938,0.11766124337208475,0.08208770685493778,0.10489294140030588,0.1304255628620432,0.1015996396577822,0.11501667152810911,0.16704174159563828,0.14752753381356268,0.18619453534504282,0.11369688994162498,0.1348445538022064,0.14345379326940302,0.09781097770050828,0.14596103765014112,0.1088842976797503,0.09762218713632767,0.1185711798966141,0.1377033682009048,0.14137019291922814,0.16754883802134915,0.13023044246168786,0.1378980421172698,0.1359129451842946,0.1653121509279683,0.140397275571259,0.15291088638138797,0.14933018013409294,0.14763482389868718,0.1033759939301564,0.15676726844239125,0.1325814287617189,0.15643605529749932,0.13203975492349332,0.12188939417574149,0.18673193476636138,0.16198435513342313,0.1968530169130881,0.17071814147760653,0.1637383039601543,0.17070666024354716,0.14654585559414063,0.15760205895540821,0.1361886788582884,0.1537166680494187,0.12224938828975958,0.1566933211685436,0.1286349602489534,0.14557580243494317,0.13754129200727455,0.14316340069031203,0.10458330148361941,0.13683898846559178,0.1313612326866472
8,0.13060312856115958,0.13243753196570782,0.1480935769655478,0.14562548201119435,0.13771081159680207,0.11348684649236251,0.09856910642122034,0.127947734698108,0.0727682713001262,0.12015970775772647,0.1327154134461675,0.11353238898252642,0.1326412177211071,0.15504344019618516,0.1439514937806815,0.19202541782821247,0.1383990464048516,0.17464278511073764,0.1342352379593307,0.11321980599989484,0.1536250138284471,0.10142021843825642,0.10799821522798905,0.13033288167252602,0.14388639688358718,0.13295543069228236,0.18653568813975402,0.13717583355910368,0.11420687098431549,0.12972202272817004,0.1517778814895233,0.14653550924632608,0.1366178204926794,0.13660131423278907,0.1416511665868938,0.09971963036525382,0.16655011652799012,0.12860760254785716,0.16236971370004946,0.15707713700147394,0.12367652479133945,0.15397228412753944,0.16954674726147942,0.16586730609372974,0.10862607420133377,0.09833723600862138,0.18594482959100642,0.15873874953282288,0.1437234227457337,0.08350393568471565,0.17774627031793008,0.12627178890236626,0.14585916445429292,0.09520668375169246,0.1476464743339964,0.12265288307255305,0.1429515992601883,0.12164440592521676,0.12782368424115587,0.1319560776632224
9,0.14810087892651685,0.12588746349484825,0.1565858484932786,0.16222444197317915,0.14435808337673678,0.10982725560224632,0.08658057175016817,0.1314896191053056,0.05180155550299396,0.10482714293300503,0.12699229708482732,0.11831301881857785,0.1537034567769543,0.14501506730489416,0.14544994000655842,0.18337264897548,0.16185743013091092,0.14878887714668204,0.2328163026761843,0.11863026121362968,0.1344280722615787,0.12836714897225568,0.11399702972862981,0.16397800695678147,0.1403329891681946,0.1464560636437754,0.1558426410183702,0.13579208479857133,0.13587781455174014,0.14864804902389817,0.13907600842344306,0.13510590150753368,0.13645947393753777,0.1838710461392534,0.15487354716816512,0.10377249047670355,0.18181153822396606,0.15662650550096266,0.1738886051373505,0.12613908713071076,0.16012803298620382,0.13356950750682775,0.14575025199548533,0.17555148827206232,0.16084333406271667,0.11699408565549968,0.16554087012692864,0.14845230733198647,0.1596221365764196,0.11218712808209401,0.16320668538439467,0.11391648150304692,0.12466329478478075,0.1096620337554462,0.16615363967260327,0.11291957114787496,0.1400375638242152,0.13624525576247037,0.11975878653869285,0.14241076931612778
